ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
MERCOSUL ITAJAÍ;BRASILEIRA;195;9;Cabo;03/01/2024 06:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5802-72023;552212023;B;EPORT 1/TECON 1;CONTEINERES
LOG-IN PANTANAL;BRASILEIRA;183;8.1;Cabo;03/01/2024 09:00:00;;MSC MEDITERRANEAN SHIPPING DO BR;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;14400;14400;5779-52023;577452023;B;EPORT 1/TECON 1;CONTEINERES
MEDITERRANEAN EXPRESS;SINGAPURENSE;250;7;Long;03/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;2106;18396;5576-72023;531862023;B;TECON;CONTEINERES
AMÉRICO VESPÚCIO;BRASILEIRA;228;9;Cabo;03/01/2024 15:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB ;0;CONTEINERES CHEIOSCONTEINERES CHEIOS;0;1800;0;5709-72023;570152023;B;TECON;CONTEINERES
BANGKOK;COREANA;304;11.8;Long;04/01/2024;;COSCO BRASIL S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;900;10800;5404-12023;535032023;B;EPORT 1/TECON 1;CONTEINERES
CMA CGM LITANI;MALTESA;300;9;Long;04/01/2024;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1900;1900;5614-62023;531322023;B;EPORT 1/TECON 1;CONTEINERES
IRENES RESOLVE;LIBERIANA;257;7;Long;04/01/2024 05:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;4536;360;5575--2023;559732023;B;EPORT 1/TECON 1;CONTEINERES
MSC PETRA;LIBERIANA;300;13.5;Long;04/01/2024 05:00:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;12600;1800;5781-02023;577512023;B;B.T.P. 1;CONTEINERES
SEASPAN HARRIER;HONG KONG;330;13;Long;04/01/2024 23:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;15300;1530;5150-02023;508672023;B;B.T.P. 1;CONTEINERES
MSC AJACCIO;MALTESA;300;10;Long;05/01/2024 01:00:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;12600;5769-02023;573102023;B;B.T.P. 1;CONTEINERES
CMA CGM RHONE;MALTESA;300;9;Long;05/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5792-12023;562992023;B;B.T.P. 1;CONTEINERES
MERIDIAN;SINGAPURENSE;189;9;Long;05/01/2024 08:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5666-62023;550342023;B;TECON;CONTEINERES
KOTA SANTOS;LIBERIANA;334;12.8;Long;05/01/2024 12:00:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;12600;4500;5790-92023;573422023;B;TECON;CONTEINERES
AMÉRICO VESPÚCIO;BRASILEIRA;228;9;Cabo;05/01/2024 14:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;3600;3600;5708--2023;569982023;B;B.T.P.  / TECON;CONTEINERES
MONTE VERDE;SINGAPURENSE;272;9;Long;06/01/2024 01:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5670-32023;539952023;B;TECON;CONTEINERES
MSC ANSHIKA VI;PORTUGUESA;275;10.4;Long;06/01/2024 06:00:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;14400;5783-22023;573282023;B;B.T.P. 1;CONTEINERES
GREEN HOPE;PANAMENHA;172;9;Long;06/01/2024 07:00:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;12600;5400;5788-42023;578232023;B;EPORT 1/TECON 1;CONTEINERES
BROOKLYN BRIDGE;JAPONESA;267;12;Long;06/01/2024 10:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;15300;1530;5289-82023;523672023;B;EPORT 1/TECON 1;CONTEINERES
LOG-IN DISCOVERY;BRASILEIRA;209;8.1;Cabo;06/01/2024 12:00:00;;MSC MEDITERRANEAN SHIPPING DO BR;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;7200;7200;5772--2023;577572023;B;TECON;CONTEINERES
MAERSK JALAN;SINGAPURENSE;222;9;Cabo;06/01/2024 14:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5816-82023;569942023;B;TECON;CONTEINERES
MAERSK LAMANAI;DINAMARQUESA;300;9;Long;06/01/2024 14:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5702-22023;550432023;B;B.T.P. 1;CONTEINERES
MSC PHOENIX;LIBERIANA;300;13.2;Long;06/01/2024 18:15:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;16200;1800;5780-32023;576942023;B;EPORT 1/TECON 1;CONTEINERES
CAP SAN ARTEMISSIO;PANAMENHA;333;9;Long;07/01/2024 01:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5674-92023;539852023;B;TECON;CONTEINERES
BRIGHT;PORTUGUESA;186;9.6;Long;07/01/2024 08:00:00;;ZIM DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;12690;5773-72023;553722023;B;TECON;CONTEINERES
COSCO SHIPPING PENG BO;CHINESA;202;10.8;Long;07/01/2024 12:00:00;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;DESC   ;0;CONTEINERES CHEIOS;0;3402;0;5812-22023;578212023;B;TECON;CONTEINERES
NYK DIANA;PANAMENHA;294;9.9;Long;07/01/2024 17:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1530;15300;5456-12023;543372023;B;EPORT 1/TECON 1;CONTEINERES
LONG BEACH EXPRESS;LIBERIANA;294;7;Long;08/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;12834;4266;5669-52023;567822023;B;TECON;CONTEINERES
MSC ALTAMIRA;LIBERIANA;299;14.2;Long;08/01/2024 11:00:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB ;0;CONTEINERES CHEIOSCONTEINERES CHEIOS;0;18000;0;5785-52023;573612023;B;B.T.P. 1;CONTEINERES
MAERSK LANCO (AO);HONG KONG;300;9;Long;09/01/2024 01:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5700-02023;539912023;B;B.T.P. 1;CONTEINERES
MSC SOFIA CELESTE;PORTUGUESA;300;13.2;Long;09/01/2024 05:00:00;;MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;18000;1800;5784-92023;577112023;B;B.T.P. 1;CONTEINERES
SALVADOR EXPRESS;HONG KONG;330;10;Long;09/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;360;35802;5768-32023;576452023;B;B.T.P. 1;CONTEINERES
MONTE OLIVIA;SINGAPURENSE;272;9;Long;10/01/2024 02:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5675-52023;550882023;B;TECON;CONTEINERES
SEBASTIÃO CABOTO;BRASILEIRA;228;9;Cabo;11/01/2024 21:00:00;;LACHMANN AGENCIA MARITIMA LTDA;EMB;DESC;CONTEINERES CHEIOS;CONTEINERES CHEIOS;1800;1800;5817-42023;570072023;B;TECON;CONTEINERES
SEASPAN OSPREY;HONG KONG;330;14.5;Long;11/01/2024 23:00:00;;OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA;EMB ;0;CONTEINERES CHEIOSCONTEINERES CHEIOS;0;15300;0;5346-12023;529502023;B;B.T.P. 1;CONTEINERES
