ship;flag;lenght;draft;navigation;arrival;notice;office;first_operation;second_operation;first_goods;second_goods;first_weight;second_weight;voyage;duv;priority;terminal;ship_type
BBC REEF;PANAMENHA;162;8;Long;28/12/2023;;L.M.A. SHIPPING & CONSULTING - SERV. MARITIMOS E CONS. LTDA;EMB ;0;BANKER;0;1;0;4823--2023;477032023;SP;CODESP-RUA;SEM PRIORIDADE
HAM 316;PANAMENHA;128;8;Long;28/12/2023;;UNIMAR AGENCIAMENTOS MARITIMOS LTDA;EMB ;0;CARGA GERAL;0;1;0;5513-52023;548922023;B;CODESP-RUA;SEM PRIORIDADE
NORD SUPREME;DINAMARQUESA;183;9;Long;28/12/2023;;NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP;EMB ;0;CONSUMO DE BORDO;0;27;0;2675-42023;269952023;SP;SABOO LQ.;SEM PRIORIDADE
ROBUSTA;ILHAS MARSHALL;201;7;Long;28/12/2023;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;PAPEL E CELULOSE;0;55000;0;5501-72023;548172023;B;EPORT 1/TECON 1;SEM PRIORIDADE
TS 2;BRASILEIRA;35;2.2;Cabo;28/12/2023;;BPA AGENCIAMENTOS MARITIMOS LTDA.;EMB ;0;CARGA GERAL;0;246;0;5579-62023;548272023;B;CAIS SABOO;SEM PRIORIDADE
COSCO SHIPPING XING WANG;CHINESA;202;12;Long;28/12/2023 07:00:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;PAPEL E CELULOSE;0;23600;0;5585-62023;561872023;B;CODESP-RUA;SEM PRIORIDADE
COSCO SHIPPING ZHUO YUE;CHINESA;202;12;Long;28/12/2023 07:00:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;EMB ;0;PAPEL E CELULOSE;0;25500;0;5723-02023;572142023;B;35/37;SEM PRIORIDADE
TS ASSANHADO;BRASILEIRA;25;2;Cabo;28/12/2023 07:00:00;;BPA AGENCIAMENTOS MARITIMOS LTDA.;EMB ;0;CARGA GERAL;0;246;0;5739-32023;573672023;B;CAIS SABOO;SEM PRIORIDADE
VICTORIA;LIBERIANA;190;10;Long;28/12/2023 12:30:00;5491-7;WILHELMSEN PORT SERVICES BRASIL LTDA;EMB ;0;PAPEL E CELULOSE;0;44000;0;5745-32023;571352023;B;32;SEM PRIORIDADE
AUTUMN STREAM;BAHAMENSE;158;9;Long;30/12/2023 01:00:00;;AGÊNCIA MARÍTIMA ORION;EMB ;0;BANKER;0;500;0;5758-82023;574462023;SP;CODESP-RUA;SEM PRIORIDADE
BBC UTAH;LIBERIANA;138;8.2;Long;31/12/2023 07:00:00;;BPA AGENCIAMENTOS MARITIMOS LTDA.;EMB ;0;BANKER;0;365;0;5722-32023;571192023;SP;TECONDI;SEM PRIORIDADE
SOFIA K (BAND. GREYLIST P;PANAMENHA;183;7;Long;31/12/2023 13:00:00;;WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO;DESC   ;0;OLEO DIESEL;0;30000;0;5743--2023;573622023;B;ALAMOA;SEM PRIORIDADE
SAN ANTONIO EXPRESS;CHILENA;224;7;Long;01/01/2024 10:00:00;;ROCHAMAR AGENCIA MARITIMA S/A;EMB;DESC;CONSUMO DE BORDO;CONTEINERES CHEIOS;64170;4266;5615-22023;531842023;B;TECON;SEM PRIORIDADE
